Poland–Russia relations (Polish: Stosunki polsko-rosyjskie, Russian: Российско-польские отношения) have a long but often turbulent history, dating to the late Middle Ages, when the Kingdom of Poland and Kievan Rus' and later Grand Duchy of Muscovy struggled over control of their borderlands.	0
Over centuries, there have been several Polish–Russian Wars, with Poland once occupying Moscow and later Russia controlling much of Poland in the 19th as well as in the 20th century, damaging relations.	0
According to a 2013 BBC World Service poll, 19 percent of Poles view Russia's influence positively while 49 percent express a negative view.	0
"
However, since the Russian annexation of Crimea, over 60-80% Poles are worried over the future conflict with Russia, giving the fact Russia maintains control in Kaliningrad Oblast."	0
The United States and Russia maintain diplomatic and trade relations.	1
In 2014, relations greatly deteriorated further due to the crisis in Ukraine, Russia's annexation of Crimea in 2014, differences regarding Russian military intervention in the Syrian Civil War, and from the end of 2016 over Russia's alleged interference in the 2016 U.S. elections.	0
Mutual sanctions imposed in 2014 remain in place.	0
Both the countries maintain diplomatic relations with each other, having embassies in each other's capitals.	1
"
There is a significant community of Iranians in the United Arab Emirates, mostly residing in the emirate of Dubai."	1
 There have been many political, cultural and economic relationships between the two countries.	1
Relations between the two nations date back from the Middle Ages, including Wallachia and Moldavia.	1
Modern diplomatic relations between the two states are dating since the creation of Romania.	1
Relations between Libya and the United Kingdom were initially close and positive after the British Armed Forces helped rebel forces to topple Muammar Gaddafi's regime in the 2011 Libyan Civil War.	1
British officials have visited Libya several times since then, including two visits by Prime Minister David Cameron on which large crowds turned out to welcome him.	1
The British Armed Forces are also helping to train Libya's National Army as part of wider cooperation on security matters.	1
Security conditions have deteriorated since 2014, when the United Kingdom suspended operations from their embassy in Tripoli, into a second civil war.	0
South Africa has a mission in Harare.	1
Zimbabwe has an embassy in Pretoria and a consulate general in Johannesburg.	1
In addition, as chairman of the Frontline States in southern Africa, Zimbabwe spoke out vigorously against the policies of apartheid in South Africa and frequently called for the imposition of economic sanctions against the government.	0
From 1993 to 2007, Armenia was served by the Embassy of Israel in Georgia.	1
In 1996, Tsolak Momjian was appointed the honorary consul of Armenia in Jerusalem.	1
Eleven years later, the residence of the Embassy of Israel in Armenia was moved to Jerusalem.	1
In October 2010, Shmuel Meirom was appointed the Israeli ambassador to Armenia.	1
Armen Melkonian was appointed the Armenian ambassador to Israel in 2012, with a residence in Cairo.	1
In October of that year, Melkonian presented his credentials to Israeli President Shimon Peres.	1
"
On the 21st of September 2019 Armenia announced that it would be opening an embassy in Israel."	1
Iran and Yemen have had cordial, if tepid, relations since the Iranian Revolution in 1979.	1
Ties between the Saudi-backed Yemeni government in Aden, however, have been damaged in recent years by Iran's support for the rival Yemeni government in Sanaa linked to the Houthi movement.	0
The United States and the Saudi-backed government in Yemen have repeatedly accused Iran of providing funding and weapons to the Zaydi Shi’ite Houthi rebels and on one occasion claimed to have discovered Iranian-made arms in rebel weapons caches.	0
The US and Saudi Arabia have also accused Iran's allies in Lebanon and Syria of also supporting the Yemeni government in Sanna.	0
Iran has also deployed submarines and warships off Yemen’s coast, in the Gulf of Aden and Red Sea, ostensibly to conduct anti-piracy operations.	0
Diplomatic relations are cordial, although the Solomon Islands government has aligned itself with other countries in the region to urge Fiji interim Prime Minister Voreqe Bainimarama to restore democracy in Fiji.	1
"In August 2008, it was announced that Solomon Islands intended to open a High Commission in Suva, and in December the government of Fiji announced that it had ""formally endorsed the establishment of a Resident Diplomatic Mission in Suva by the Government of Solomon Islands""."	1
Fiji's High Commission to Papua New Guinea is accredited to Solomon Islands.	1
"
The earliest relations between the two countries came during the Second World War, when Fiji soldiers under British command fought against the Japanese in the Solomons."	1
Formal diplomatic relations were established on 28 July 1978, when the Solomon Islands became a sovereign country.	1
Today, Fiji soldiers are once again present in the Solomon Islands, as part of the Regional Assistance Mission to Solomon Islands (RAMSI).There is a Fiji community in Solomon Islands, notably in Honiara, the capital city.	1
Historically, relations have generally been close and friendly, characterised by understanding and cooperation on an international front.	1
Diplomatic ties have not been established and Pakistan has refused to recognize Israel.	0
Nevertheless, Pakistan and Israel use their Embassies at Istanbul to mediate or exchange information with each other.	1
In 2009, Pakistan is believed to have used its embassy in Istanbul to pass on information about a terror group to Israel according to WikiLeaks.	1
Diplomatic relations were established in 1967.	1
Lithuania has an embassy in Moscow and consulates in Saint Petersburg, Kaliningrad and Sovetsk.	1
Russia has an embassy in Vilnius, with consulates in Klaipėda.	1
Bilateral relations between the Republic of India and the Republic of Singapore have traditionally been strong and friendly, with the two nations enjoying extensive cultural and commercial relations.	1
India and Singapore have signed the Comprehensive Economic Cooperation Agreement (CECA) and strategic-relationship agreement in order to increase trade, investments and economic cooperation, and expanded bilateral cooperation on maritime security, training forces, joint naval exercises, developing military technology and fighting terrorism.	1
According to a 2010 Gallup poll, 40% of Singaporeans approve of India's leadership, with 23% disapproving and 37% uncertain.	1
There are no diplomatic relations between Armenia and Azerbaijan, largely due to the ongoing Nagorno-Karabakh conflict.	0
The neighboring nations had formal governmental relations between 1918 and 1921, during their brief independence from the collapsed Russian Empire, as the First Republic of Armenia and the Democratic Republic of Azerbaijan; these relations existed from the period after the Russian Revolution until they were occupied and annexed by the Soviet Union.	1
Due to the two wars waged by the countries in the past century—one from 1918 to 1921 and another from 1988 to 1994—the two have had strained relations.	0
Since the 1979 Iranian Revolution, relations between the two countries have been strained over various geopolitical issues such as the interpretations of Islam, aspirations for leadership of the Islamic world, and relations with the United States, Europe and other Western countries.	0
In addition, Iran has been severely critical of Bahrain for hosting the United States Fifth Fleet within the Persian Gulf at the Naval Support Activity Bahrain base.	0
"
After the Saudi diplomatic missions in Iran were ransacked by Iranian protesters following the execution of Nimr al-Nimr, Bahrain followed Saudi Arabia's decision by severing diplomatic relations with Iran on January 4, 2016.On 16 April 2019 a court in Bahrain sentenced 139 people to prison for forming terrorist groups backed by Iran."	0
 A total of 169 were arrested.	0
Diplomatic relations between Iraq and the United States began when the U.S. first recognized Iraq on January 9, 1930, with the signing of the Anglo-American-Iraqi Convention in London by Charles G. Dawes, U.S. Ambassador to the United Kingdom.	1
Today, the United States and Iraq both consider themselves as strategic partners, given the American political and military involvement after the invasion of Iraq and their mutual, deep-rooted relationship that followed.	1
The United States provides the Iraqi security forces millions of dollars of military aid and training annually as well as uses its military bases.	1
In 2020, Iraq voted to ask the United States and its coalition members to withdraw all of their troops from the country, with U.S. President Trump asserting that sanctions will be imposed against Iraq if the United States' troops were forced to exit Iraq.	0
According to the office of Iraq's Prime Minister, the United States has promised to follow up on unauthorized use of Iraqi airspace and violations of its sovereignty.	1
Both countries established diplomatic relations after the unification of Italy.	1
